,de_score,de_abs,pca_score,nmf_score,hub_degree,de_abs_norm,pca_score_norm,nmf_score_norm,hub_degree_norm,composite_score
201415_at,,,0.0390004324432717,0.887455708391041,,0.0,0.5044411789942801,0.6917968525293221,0.0,0.2990595078809005
213513_x_at,,,0.021673293211112398,1.0528457086356318,,0.0,0.27060783355208684,0.9255765711210288,0.0,0.2990461011682789
220705_s_at,,,0.0312698932014267,0.9612037896832896,,0.0,0.4001159451069835,0.7960401904922171,0.0,0.29903903389980013
209583_s_at,,,0.029502455286982702,0.9780649030285268,,0.0,0.37626400308364294,0.8198734713868482,0.0,0.2990343686176228
216571_at,,,0.0306096630614412,0.9674358523134934,,0.0,0.3912060021368226,0.8048492469392836,0.0,0.29901381226902657
221479_s_at,,,0.030944755444658596,0.9642283380873116,,0.0,0.39572814349842095,0.8003154070936657,0.0,0.29901088764802164
215412_x_at,,,0.026139579885896103,1.010054109925374,,0.0,0.3308813005610095,0.8650903997093414,0.0,0.29899292506758773
212677_s_at,,,0.026251229195943103,1.0089744564161147,,0.0,0.3323880312067786,0.8635643032512853,0.0,0.298988083614516
202601_s_at,,,0.05486680505306339,0.7357692088702015,,0.0,0.718561175242364,0.4773871111924802,0.0,0.298987071608711
32069_at,,,0.0344575525717845,0.930605120638918,,0.0,0.4431340708756901,0.7527887954387371,0.0,0.2989807165786068
217575_s_at,,,0.0288814262731951,0.9838232788452902,0.0,0.0,0.3678830874596087,0.8280129687929634,0.0,0.298974014063143
219877_at,,,0.0303039989193445,0.9702103342912844,,0.0,0.387081001005907,0.8087709932059656,0.0,0.29896299855296815
218776_s_at,,,0.0216031314278085,1.0532667268426243,,0.0,0.269660985703038,0.9261716827832039,0.0,0.2989581671215605
208241_at,,,0.0269554304578614,1.0020287089484623,,0.0,0.3418913736069683,0.8537464491730733,0.0,0.2989094556950104
219540_at,,,0.03192581102528686,0.9545648344237484,,0.0,0.40896769247470355,0.7866559889684057,0.0,0.29890592036077734
208103_s_at,,,0.035876626355000205,0.916822575857626,,0.0,0.4622847665394478,0.7333070889529582,0.0,0.29889796387310147
201223_s_at,,,0.0471462442438709,0.8091523074271048,,0.0,0.6143706023777636,0.581114543955341,0.0,0.29887128658327616
32540_at,,,0.0380532968864829,0.8959394065337006,,0.0,0.49165938779010226,0.703788608750828,0.0,0.2988619991352326
221170_at,,,0.025705456852302702,1.013809480107528,,0.0,0.325022719988733,0.8703986371063624,0.0,0.29885533927377383
35846_at,,,0.0326831569778693,0.9471359138080154,,0.0,0.4191882335217086,0.7761551668605529,0.0,0.29883585009556535
203211_s_at,,,0.024524491039403202,1.024969606067301,,0.0,0.30908534087593553,0.8861735394732853,0.0,0.2988147200873052
214760_at,,,0.039757091555097095,0.8795178782669134,,0.0,0.5146524509825068,0.6805766838981897,0.0,0.2988072837201741
221391_at,,,0.0294321564060057,0.978042243679905,,0.0,0.3753153050729993,0.8198414422669713,0.0,0.29878918683499267
210085_s_at,,,0.0173907354049552,1.092838641773627,,0.0,0.2128138258139426,0.9821068126158634,0.0,0.29873015960745153
204453_at,,,0.0466441732390913,0.8134897102169298,,0.0,0.6075950498111149,0.587245487797923,0.0,0.29871013440225946
219091_s_at,,,0.0316264898361198,0.9568212631859307,,0.0,0.4049282908119775,0.7898454640289602,0.0,0.2986934387102344
215902_at,,,0.0320688285523242,0.9525806692177032,,0.0,0.41089774372874677,0.7838513600136762,0.0,0.29868727593560573
203132_at,,,0.0445069477738409,0.8338245580420327,,0.0,0.578752747928055,0.6159889124011477,0.0,0.2986854150823007
217177_s_at,,,0.02307032683933005,1.0384817501933084,,0.0,0.28946109274302534,0.9052730330743314,0.0,0.2986835314543392
203681_at,,,0.0282979568207811,0.9885326318645804,,0.0,0.3600090459231924,0.8346696664286759,0.0,0.29866967808796707
206836_at,,,0.0314207072962444,0.958718052447216,,0.0,0.4021512126637656,0.7925265865821692,0.0,0.2986694498114837
218533_s_at,,,0.048412738694785296,0.7964425362316483,,0.0,0.6314622082379874,0.5631492091162055,0.0,0.2986528543385482
209403_at,,,0.03557766107020761,0.9189570441570264,,0.0,0.45825016788023104,0.7363241721964359,0.0,0.2986435850191667
207298_at,,,0.0344717388676259,0.9294341496278928,,0.0,0.4433255178867392,0.751133621165615,0.0,0.29861478476308856
216730_at,,,0.0355518952062258,0.9190583459035532,,0.0,0.45790245219027503,0.7364673627990168,0.0,0.29859245374732296
215734_at,,,0.029925718653425297,0.9727624085841138,,0.0,0.38197603019050097,0.8123783649280797,0.0,0.29858859877964516
220483_s_at,,,0.0523844399818012,0.7583125951983144,,0.0,0.6850611426377462,0.509252317698898,0.0,0.298578365084161
215612_at,,,0.034198864311621106,0.9319019801977017,,0.0,0.43964301903555963,0.7546219138996902,0.0,0.2985662332338125
207550_at,,,0.0267798215809412,1.0027194372183803,,0.0,0.3395214953120341,0.8547227975637013,0.0,0.2985610732189339
213609_s_at,,,0.0285975028420384,0.98535252611617,,0.0,0.3640514817417083,0.8301745686243601,0.0,0.2985565125915171
202053_s_at,,,0.0224667128365941,1.0438754222888562,,0.0,0.2813151963129018,0.9128970196684928,0.0,0.29855305399534865
